CRN,Course,Title,SH,Instructor,Meeting Dates,Days,Time,Categories,Seats,Limit,Enroll,Subject,Prerequisites
15115,CSC 101-01,Intro to Computer Concepts,3,Jeffrey N. Whitworth,08-JAN-2018 to 25-APR-2018,M,1700-1815,.SI,0,25,25,computer science,
16542,CSC 110-01,Computational Problem Solving,3,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,T R,1400-1515,.GMT,15,28,13,computer science,
15051,CSC 130-01,Intro to Computer Science,3,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,M,1000-1150,none,1,38,37,computer science,['MAT150']
15053,CSC 130-02,Intro to Computer Science,3,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,M,1000-1150,none,6,38,32,computer science,['MAT150']
15055,CSC 130-03,Intro to Computer Science,3,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,M,1000-1150,none,5,38,33,computer science,['MAT150']
15056,CSC 230-01,Elem Data Struc / Algorithms,3,Chandana Ariyawansa,08-JAN-2018 to 25-APR-2018,M W,1400-1515,none,3,35,32,computer science,['CSC130']
15057,CSC 230-02,Elem Data Struc / Algorithms,3,Chandana Ariyawansa,08-JAN-2018 to 25-APR-2018,T R,1230-1345,none,2,35,33,computer science,['CSC130']
15058,CSC 230-03,Elem Data Struc / Algorithms,3,Chandana Ariyawansa,08-JAN-2018 to 25-APR-2018,T R,1530-1645,none,20,35,15,computer science,['CSC130']
15061,CSC 250-01,Foundations of Comp Science I,3,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,M W,1530-1645,none,0,35,35,computer science,['CSC130']
15070,CSC 250-02,Foundations of Comp Science I,3,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,M W,1730-1845,none,22,35,13,computer science,['CSC130']
15071,CSC 250-03,Foundations of Comp Science I,3,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,T R,1100-1215,none,-1,28,29,computer science,['CSC130']
15074,CSC 261-01,Computr Org / Assembly Languag,3,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,T R,1400-1515,none,3,40,37,computer science,"['CSC250', 'CSC230']"
